,Question,Answer
0,What should you do before creating a new contact in Salesforce?,"Before creating a new Contact in Salesforce, you should use the Global Search Bar to ensure that the Contact does not already exist in the system. If a contact with the same name appears, you can verify if it's the same child by checking for common details such as DOB or address."
1,What record type should you select when creating a contact for a child or parent?,"According to the context, when creating a contact (child), you should use 'Client' Record Type."
2,What field should be left blank when adding the first family member to Salesforce?,"According to the context, when adding the first family member to Salesforce, the 'Account name' field should be left blank. The system will then automatically create an account name using the individual's surname (e.g. Smith household)."
3,What should you do if the parent's address is different from the child's address?,"If the parent's address is different from the child's address, you need to set up the parent as a separate household and record their own address details. Follow the steps outlined in Section 1, leaving the 'Account name' field blank, which will create the parent as a new household and allow you to record a separate address for them."
4,Where should you go to create a Program Engagement for a child?,"You should click the 'Contacts' tab and then click on the name of the contact you want to create a Program Engagement for, which is always the child."
5,What field must be filled when creating a Program Engagement?,"According to the context, the following fields must be filled when creating a Program Engagement:

(i) Complete all relevant fields with referral information
(v) For the 'Program' field always select 'St Francis Family Centre' or 'St Mark’s Stay & Play'
(vi) For the 'Stage' field select 'In Progress'

Note that it also mentions completing all relevant fields, but specifically lists (v) and (vi) as the required fields."
6,What should you do if a child is referred for a different service after completing a program?,"You should create a new Program Engagement, regardless of whether there has been a gap in time or not."
7,What must you always create before logging a Service Delivery for a child?,"According to the context, a Program Engagement must always be created for a child before any Service Deliveries can be logged."
8,How can you quickly add multiple Service Deliveries for a group of children?,"You can quickly add multiple Service Deliveries for a group of children by using ""Bulk Service Deliveries"". To do this, follow steps (i) to (ix) in the given instructions."
9,Where do consultations appear after they are logged?,Consultations appear under the 'Consultations' tab within the child's Program Engagement.
10,Explain should you do before creating a new contact in Salesforce?,"Before creating a new Contact in Salesforce, you should always use the Global Search Bar to ensure that the Contact does not already exist in the system. If a contact with the same name appears, you can click on the record to verify if it is the same child (e.g., does it have the same DOB or address)."
